st,mo,Wind
UT,4,67
UT,5,262
UT,6,349
UT,7,522
UT,8,333
UT,9,248
UT,10,33
UT,11,14
UT,12,21
VA,1,225
VA,2,238
VA,3,503
VA,4,1201
VA,5,2499
VA,6,4746
VA,7,4697
VA,8,2853
VA,9,813
VA,10,266
VA,11,267
VA,12,76
VI,6,1
VT,2,4
VT,3,18
VT,4,6
VT,5,320
VT,6,454
VT,7,796
VT,8,399
VT,9,151
VT,10,20
VT,11,8
VT,12,6
WA,1,10
WA,3,17
WA,4,30
WA,5,97
WA,6,103
WA,7,116
WA,8,82
WA,9,49
WA,10,7
WA,11,6
WA,12,9
WI,1,4
WI,2,12
WI,3,147
WI,4,388
WI,5,1319
WI,6,3152
WI,7,3985
WI,8,2064
WI,9,822
WI,10,161
WI,11,50
WI,12,47
WV,1,58
WV,2,166
WV,3,192
WV,4,524
WV,5,739
WV,6,1823
WV,7,1932
WV,8,970
WV,9,222
WV,10,94
WV,11,135
WV,12,30
WY,2,1
WY,3,8
WY,4,64
WY,5,203
WY,6,702
WY,7,796
WY,8,417
WY,9,132
WY,10,20
WY,11,2
WY,12,3
