"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649702,2019,10,20,"2019-10-20","18:55:00",3,"TX",48,0,2,0,0,10000,0,33.48,-97.29,33.48,-97.29,0,0,0,0,0,97,0,0,0
649703,2019,10,20,"2019-10-20","18:57:00",3,"TX",48,0,1,0,0,0,0,32.2794,-94.3909,32.2794,-94.3909,0,0,0,0,0,365,0,0,0
649704,2019,10,20,"2019-10-20","18:59:00",3,"OK",40,0,0.75,0,0,0,0,35.64,-97.52,35.64,-97.52,0,0,0,0,0,109,0,0,0
649705,2019,10,20,"2019-10-20","19:07:00",3,"TX",48,0,3,0,0,250000,0,33.63,-97.15,33.63,-97.15,0,0,0,0,0,97,0,0,0
649706,2019,10,20,"2019-10-20","19:07:00",3,"TX",48,0,1,0,0,0,0,32.45,-97.53,32.45,-97.53,0,0,0,0,0,251,0,0,0
649707,2019,10,20,"2019-10-20","19:11:00",3,"TX",48,0,2.5,0,0,250000,0,33.63,-97.15,33.63,-97.15,0,0,0,0,0,97,0,0,0
649708,2019,10,20,"2019-10-20","19:17:00",3,"TX",48,0,1,0,0,0,0,32.47,-97.38,32.47,-97.38,0,0,0,0,0,251,0,0,0
649709,2019,10,20,"2019-10-20","19:26:00",3,"OK",40,0,1,0,0,0,0,36.8,-97.37,36.8,-97.37,0,0,0,0,0,71,0,0,0
649710,2019,10,20,"2019-10-20","19:26:00",3,"OK",40,0,1.5,0,0,0,0,36.82,-97.34,36.82,-97.34,0,0,0,0,0,71,0,0,0
649711,2019,10,20,"2019-10-20","19:27:00",3,"TX",48,0,1,0,0,0,0,30,-97.14,30,-97.14,0,0,0,0,0,21,0,0,0
649712,2019,10,20,"2019-10-20","19:38:00",3,"OK",40,0,1.25,0,0,0,0,34.01,-96.73,34.01,-96.73,0,0,0,0,0,95,0,0,0
649713,2019,10,20,"2019-10-20","19:38:00",3,"OK",40,0,0.75,0,0,0,0,35.9603,-96.38,35.9603,-96.38,0,0,0,0,0,37,0,0,0
649714,2019,10,20,"2019-10-20","19:40:00",3,"OK",40,0,0.75,0,0,0,0,34.8,-97.03,34.8,-97.03,0,0,0,0,0,49,0,0,0
